PrecinctName,FormerName,Source:,County
101 - Precinct 101,001 - Arlington,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
102 - Precinct 102,002 - Ashton Heights,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
103 - Precinct 103,003 - Aurora Hills,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
104 - Precinct 104,004 - Ballston,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
105 - Precinct 105,005 - Barcroft,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
106 - Precinct 106,006 - Crystal City,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
107 - Precinct 107,007 - Cherrydale,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
108 - Precinct 108,008 - Hume,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
109 - Precinct 109,009 - Columbia,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
110 - Precinct 110,010 - Wilson,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
111 - Precinct 111,011 - East Falls Church,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
112 - Precinct 112,012 - Fairlington,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
113 - Precinct 113,013 - Glen Carlyn,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
114 - Precinct 114,014 - Clarendon,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
115 - Precinct 115,015 - Lyon Park,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
116 - Precinct 116,016 - Lyon Village,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
117 - Precinct 117,017 - Overlee Knolls,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
118 - Precinct 118,018 - Park Lane,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
119 - Precinct 119,019 - Rosslyn,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
120 - Precinct 120,020 - Thrifton,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
121 - Precinct 121,021 - Virginia Highlands,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
122 - Precinct 122,022 - Abingdon,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
123 - Precinct 123,023 - Westover,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
124 - Precinct 124,024 - Woodlawn,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
125 - Precinct 125,025 - Arlington Forest,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
126 - Precinct 126,026 - Fillmore,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
127 - Precinct 127,027 - Jefferson,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
128 - Precinct 128,028 - Wakefield,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
129 - Precinct 129,029 - Dominion Hills,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
130 - Precinct 130,030 - Glebe,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
131 - Precinct 131,031 - Lexington,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
132 - Precinct 132,032 - Oakridge,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
133 - Precinct 133,033 - Rock Spring,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
134 - Precinct 134,034 - Yorktown,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
135 - Precinct 135,035 - Madison,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
136 - Precinct 136,036 - Marshall,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
137 - Precinct 137,037 - Nottingham,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
138 - Precinct 138,038 - Arlington View,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
139 - Precinct 139,039 - Ashlawn,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
140 - Precinct 140,040 - Virginia Square,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
141 - Precinct 141,041 - Navy League,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
142 - Precinct 142,042 - Shirlington,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
143 - Precinct 143,043 - Campbell,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
144 - Precinct 144,044 - Dawson Terrace,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
145 - Precinct 145,045 - Buckingham,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
146 - Precinct 146,046 - Central,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
147 - Precinct 147,047 - Four Mile Run,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
148 - Precinct 148,048 - AUSA,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
149 - Precinct 149,049 - Monroe,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
150 - Precinct 150,050 - Crystal Plaza,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
151 - Precinct 151,051 - Taylor,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
152 - Precinct 152,052 - Gunston,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
153 - Precinct 153,053 - Met Park,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
154 - Precinct 154,054 - Garfield Park,https://vote.arlingtonva.gov/Elections/Polling-Places/maps-directions,Arlington
001 - PRECINCT 1,001 - NORTH BEACH,(Manual) Assume election data is same number,Virginia Beach City
002 - PRECINCT 2,002 - SOUTH BEACH,(Manual) Assume election data is same number,Virginia Beach City
003 - PRECINCT 3,003 - OCEAN LAKES,(Manual) Assume election data is same number,Virginia Beach City
004 - PRECINCT 4,004 - LINKHORN,(Manual) Assume election data is same number,Virginia Beach City
005 - PRECINCT 5,005 - SEATACK,(Manual) Assume election data is same number,Virginia Beach City
006 - PRECINCT 6,006 - ALANTON,(Manual) Assume election data is same number,Virginia Beach City
007 - PRECINCT 7,007 - KINGSTON,(Manual) Assume election data is same number,Virginia Beach City
008 - PRECINCT 8,008 - LONDON BRIDGE,(Manual) Assume election data is same number,Virginia Beach City
009 - PRECINCT 9,009 - TRANTWOOD,(Manual) Assume election data is same number,Virginia Beach City
010 - PRECINCT 10,010 - GREAT NECK,(Manual) Assume election data is same number,Virginia Beach City
011 - PRECINCT 11,011 - CAPE HENRY,(Manual) Assume election data is same number,Virginia Beach City
012 - PRECINCT 12,012 - PLAZA,(Manual) Assume election data is same number,Virginia Beach City
013 - PRECINCT 13,013 - MT TRASHMORE,(Manual) Assume election data is same number,Virginia Beach City
014 - PRECINCT 14,014 - MALIBU,(Manual) Assume election data is same number,Virginia Beach City
015 - PRECINCT 15,015 - OLD DONATION,(Manual) Assume election data is same number,Virginia Beach City
016 - PRECINCT 16,016 - ARAGONA,(Manual) Assume election data is same number,Virginia Beach City
017 - PRECINCT 17,017 - OCEAN PARK,(Manual) Assume election data is same number,Virginia Beach City
018 - PRECINCT 18,018 - THOROUGHGOOD,(Manual) Assume election data is same number,Virginia Beach City
019 - PRECINCT 19,019 - LAKE SMITH,(Manual) Assume election data is same number,Virginia Beach City
020 - PRECINCT 20,020 - BAYSIDE,(Manual) Assume election data is same number,Virginia Beach City
