District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
HSE ,Locality: 069 FREDERICK COUNTY,0203,203 - REDLAND,4,,4,,,,,1,4,,4,,,,,24,"3,435",103,"3,538",32,11,13,2
HSE ,Locality: 087 HENRICO COUNTY,0118,118 - Holding Tank for 107,"3,393",88,"3,481",32,11,10,2,1,"3,393",88,"3,481",32,11,10,2,24,"3,435",103,"3,538",32,11,13,2
HSE ,Locality: 091 HIGHLAND COUNTY,0003,003 - WILSONS MILL,,1,1,,,,,1,,1,1,,,,,24,"3,435",103,"3,538",32,11,13,2
HSE ,Locality: 101 KING WILLIAM COUNTY,0301,301 - AYLETT,,1,1,,,1,,1,,1,1,,,1,,24,"3,435",103,"3,538",32,11,13,2
HSE ,Locality: 111 LUNENBURG COUNTY,0701,701 - MEHERRIN FIRE DEPARTMENT,1,,1,,,,,1,1,,1,,,,,24,"3,435",103,"3,538",32,11,13,2
HSE ,Locality: 117 MECKLENBURG COUNTY,0301,301 - BRACEY,10,1,11,,,,,3,15,1,16,,,,,24,"3,435",103,"3,538",32,11,13,2
HSE ,Locality: 117 MECKLENBURG COUNTY,0302,302 - LACROSSE,1,,1,,,,,3,15,1,16,,,,,24,"3,435",103,"3,538",32,11,13,2
HSE ,Locality: 117 MECKLENBURG COUNTY,0501,501 - SOUTH HILL,4,,4,,,,,3,15,1,16,,,,,24,"3,435",103,"3,538",32,11,13,2
HSE ,Locality: 119 MIDDLESEX COUNTY,0102,102 - URBANNA,,1,1,,,,,2,2,1,3,,,,,24,"3,435",103,"3,538",32,11,13,2
HSE ,Locality: 119 MIDDLESEX COUNTY,0302,302 - CHURCH VIEW,2,,2,,,,,2,2,1,3,,,,,24,"3,435",103,"3,538",32,11,13,2
HSE ,Locality: 135 NOTTOWAY COUNTY,0,BURKEVILLE - 0380,1,,1,,,,,1,1,,1,,,,,24,"3,435",103,"3,538",32,11,13,2
HSE ,Locality: 159 RICHMOND COUNTY,0501,501 - PRECINCT 5-1,3,,3,,,,,1,3,,3,,,,,24,"3,435",103,"3,538",32,11,13,2
HSE ,Locality: 173 SMYTH COUNTY,0101,101 - SALTVILLE,4,,4,,,,,3,7,,7,,,,,24,"3,435",103,"3,538",32,11,13,2
HSE ,Locality: 173 SMYTH COUNTY,0501,501 - ATKINS,2,,2,,,,,3,7,,7,,,,,24,"3,435",103,"3,538",32,11,13,2
HSE ,Locality: 173 SMYTH COUNTY,0702,702 - SUGAR GROVE,1,,1,,,,,3,7,,7,,,,,24,"3,435",103,"3,538",32,11,13,2
HSE ,Locality: 193 WESTMORELAND COUNTY,0101,101 - PRECINCT 1-1,1,5,6,,,,,3,3,8,11,,,2,,24,"3,435",103,"3,538",32,11,13,2
HSE ,Locality: 193 WESTMORELAND COUNTY,0201,201 - PRECINCT 2-1,2,1,3,,,2,,3,3,8,11,,,2,,24,"3,435",103,"3,538",32,11,13,2
HSE ,Locality: 193 WESTMORELAND COUNTY,0401,401 - PRECINCT 4-1,,2,2,,,,,3,3,8,11,,,2,,24,"3,435",103,"3,538",32,11,13,2
HSE ,Locality: 610 FALLS CHURCH CITY,0001,001 - FIRST WARD,1,,1,,,,,3,5,,5,,,,,24,"3,435",103,"3,538",32,11,13,2
HSE ,Locality: 610 FALLS CHURCH CITY,0002,002 - SECOND WARD,2,,2,,,,,3,5,,5,,,,,24,"3,435",103,"3,538",32,11,13,2
