"State_House_District","Precinct"
1,"103 - PRECINCT 103"
1,"104 - PRECINCT 104"
1,"107 - PRECINCT 107"
1,"111 - PRECINCT 111"
1,"114 - PRECINCT 114"
1,"117 - PRECINCT 117"
1,"120 - PRECINCT 120"
1,"123 - PRECINCT 123"
1,"124 - PRECINCT 124"
1,"125 - PRECINCT 125"
1,"129 - PRECINCT 129"
1,"131 - PRECINCT 131"
1,"133 - PRECINCT 133"
1,"134 - PRECINCT 134"
1,"135 - PRECINCT 135"
1,"136 - PRECINCT 136"
1,"137 - PRECINCT 137"
1,"139 - PRECINCT 139"
1,"140 - PRECINCT 140"
1,"145 - PRECINCT 145"
1,"146 - PRECINCT 146"
1,"147 - PRECINCT 147"
1,"151 - PRECINCT 151"
2,"102 - PRECINCT 102"
2,"103 - PRECINCT 103"
2,"106 - PRECINCT 106"
2,"107 - PRECINCT 107"
2,"108 - PRECINCT 108"
2,"110 - PRECINCT 110"
2,"113 - PRECINCT 113"
2,"115 - PRECINCT 115"
2,"116 - PRECINCT 116"
2,"117 - PRECINCT 117"
2,"118 - PRECINCT 118"
2,"119 - PRECINCT 119"
2,"121 - PRECINCT 121"
2,"122 - PRECINCT 122"
2,"125 - PRECINCT 125"
2,"126 - PRECINCT 126"
2,"132 - PRECINCT 132"
2,"138 - PRECINCT 138"
2,"141 - PRECINCT 141"
2,"143 - PRECINCT 143"
2,"144 - PRECINCT 144"
2,"145 - PRECINCT 145"
2,"146 - PRECINCT 146"
2,"148 - PRECINCT 148"
2,"149 - PRECINCT 149"
2,"150 - PRECINCT 150"
2,"152 - PRECINCT 152"
2,"153 - PRECINCT 153"
2,"154 - PRECINCT 154"
3,"101 - PRECINCT 101"
3,"105 - PRECINCT 105"
3,"108 - PRECINCT 108"
3,"109 - PRECINCT 109"
3,"112 - PRECINCT 112"
3,"113 - PRECINCT 113"
3,"121 - PRECINCT 121"
3,"122 - PRECINCT 122"
3,"126 - PRECINCT 126"
3,"127 - PRECINCT 127"
3,"128 - PRECINCT 128"
3,"130 - PRECINCT 130"
3,"138 - PRECINCT 138"
3,"142 - PRECINCT 142"
3,"143 - PRECINCT 143"
3,"147 - PRECINCT 147"
3,"201 - NAOMI L. BROOKS SCHOOL"
3,"202 - GEORGE MASON SCHOOL"
3,"203 - CHARLES BARRETT CENTER"
3,"204 - BLESSED SACRAMENT CHURCH"
3,"206 - CHINQUAPIN PARK RECREATION CTR"
4,"208 - NOVA ARTS CENTER"
4,"209 - JAMES K POLK SCHOOL"
4,"210 - F.T. DAY SCHOOL"
4,"302 - PATRICK HENRY REC CENTER"
4,"303 - CHARLES E BEATLEY LIBRARY"
4,"304 - SAMUEL TUCKER SCHOOL"
4,"305 - JOHN ADAMS SCHOOL"
4,"306 - WILLIAM RAMSAY SCHOOL"
4,"307 - SOUTH PORT"
4,"308 - CAMERON STATION COMMUNITY CTR"
4,"309 - OLYMPUS CONDO"
4,"501 - BAILEYS"
4,"505 - GLEN FOREST"
4,"506 - HOLMES"
4,"509 - PLAZA"
4,"510 - PARKLAWN"
4,"512 - SLEEPY HOLLOW"
4,"514 - CROSSROADS"
