"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"284373","312383","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00",".00","1000.00",".00","1000.00","1000.00","300.00",".00","300.00","700.00","","{BD10C10D-6E7C-874C-83AC-5F892B7B85A2}"
"284378","312388","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00",".00","1000.00",".00","1000.00","1000.00","300.00",".00","300.00","700.00","","{459BA98B-90D0-6D77-A055-7DB87D755383}"
"284380","312390","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00",".00","1000.00",".00","1000.00","1000.00","300.00",".00","300.00","700.00","","{1D45D6F0-8939-15DD-94CA-26F0287ABF26}"
"284381","312391","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00",".00","1000.00",".00","1000.00","1000.00","300.00",".00","300.00","700.00","","{E2C3ED92-0674-4A44-59B5-50533D5D2C26}"
"284382","312393","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00",".00","1000.00",".00","1000.00","1000.00","300.00",".00","300.00","700.00","","{FD294410-73E2-6F4F-F4CF-6293906697C2}"
"284385","312395","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00",".00","1000.00",".00","1000.00","1000.00","300.00",".00","300.00","700.00","","{FD294410-73E2-6F4F-F4CF-6293906697C2}"
"284386","312396","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00",".00","1000.00",".00","1000.00","1000.00","300.00",".00","300.00","700.00","","{1D45D6F0-8939-15DD-94CA-26F0287ABF26}"
"284387","312397","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00",".00","1000.00",".00","1000.00","1000.00","300.00",".00","300.00","700.00","","{9D1867FB-6E4E-2E2C-6CEB-9091E20EA6C0}"
"284388","312398","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00","700.00",".00",".00",".00","700.00",".00",".00",".00","700.00","","{7A000169-CB0C-C6E1-D5AB-90EF43E9FE9F}"
"284389","312399","700.00",".00",".00",".00",".00","700.00",".00",".00",".00",".00","700.00",".00","700.00",".00",".00",".00","700.00",".00",".00",".00","700.00","","{191A3161-400C-DB40-A799-D66EA9290473}"
